site_id,site_name,period,month_start_date,calendar_year,calendar_month,calendar_quarter,month_label,cost_center,cost_usd_plan,cost_usd_actual,cost_variance_usd,cost_variance_pct,planned_cost_per_tonne,actual_cost_per_tonne,positive_cost_variance_usd,site_positive_cost_variance_usd,cost_center_margin_pressure_share_pct,overall_alert_level,primary_alert_metric,primary_alert_message,data_classification,sample_data_flag
demo_north_concentrator,Demo North Concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,Mine Operations,1878144,2112250,234106,0.12464752436447897,7.8979983179142135,8.9951878034239,234106,234106,1.0,critical,Copper Production,Copper Production is 6.4% below plan.,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,Process Plant,1707404,1624500,-82904,-0.04855558496993096,7.18,6.918064900775062,0,234106,0.0,critical,Copper Production,Copper Production is 6.4% below plan.,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-01,2025-01-01,2025,1,1,Jan 2025,Site Services & G&A,682962,604200,-78762,-0.11532413223576128,2.8720016820857865,2.573034664849672,0,234106,0.0,critical,Copper Production,Copper Production is 6.4% below plan.,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-02,2025-02-01,2025,2,1,Feb 2025,Mine Operations,1834569,2034900,200331,0.10919785519105578,7.81,8.600955239021092,200331,200331,1.0,critical,Head Grade,Head Grade is 3.2% below plan.,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-02,2025-02-01,2025,2,1,Feb 2025,Process Plant,1667790,1607400,-60390,-0.03620959473314986,7.1,6.794031869478845,0,200331,0.0,critical,Head Grade,Head Grade is 3.2% below plan.,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-02,2025-02-01,2025,2,1,Feb 2025,Site Services & G&A,667116,583000,-84116,-0.12608901600321384,2.84,2.464178536709075,0,200331,0.0,critical,Head Grade,Head Grade is 3.2% below plan.,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-03,2025-03-01,2025,3,1,Mar 2025,Mine Operations,1890732,2093300,202568,0.1071373415164074,7.722001225239943,8.551062091503267,202568,202568,1.0,warning,Head Grade,Head Grade is 3.3% below plan.,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-03,2025-03-01,2025,3,1,Mar 2025,Process Plant,1718847,1635600,-83247,-0.048431884862352496,7.02,6.681372549019608,0,202568,0.0,warning,Head Grade,Head Grade is 3.3% below plan.,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-03,2025-03-01,2025,3,1,Mar 2025,Site Services & G&A,687539,598900,-88639,-0.12892214114399328,2.8080008168266284,2.446486928104575,0,202568,0.0,warning,Head Grade,Head Grade is 3.3% below plan.,sample_demo_monthly_monitoring,True
demo_north_concentrator,Demo North Concentrator,2025-04,2025-04-01,2025,4,2,Apr 2025,Mine Operations,1902608,2123550,220942,0.11612586512828707,7.677998385794996,8.487410071942445,220942,220942,1.0,critical,Working Capital Change,Working Capital Change is 25.0% above plan.,sample_demo_monthly_monitoring,True
