dataset_name,dataset_layer,check_name,status,issue_count,affected_columns,detail,sample_values
plan_monthly,canonical_source,required_columns_present,pass,0,site_id; period; throughput_tonnes_plan; head_grade_pct_plan; recovery_pct_plan; unit_cost_usd_per_tonne_plan; copper_price_usd_per_lb_plan; tc_rc_usd_per_lb_plan; payable_percent_plan; sustaining_capex_usd_plan; working_capital_change_usd_plan,All required columns are present.,
plan_monthly,canonical_source,required_values_complete,pass,0,site_id; period; throughput_tonnes_plan; head_grade_pct_plan; recovery_pct_plan; unit_cost_usd_per_tonne_plan; copper_price_usd_per_lb_plan; tc_rc_usd_per_lb_plan; payable_percent_plan; sustaining_capex_usd_plan; working_capital_change_usd_plan,Required columns have no missing values.,
plan_monthly,canonical_source,duplicate_keys_absent,pass,0,site_id; period,No duplicate grain rows detected.,
plan_monthly,canonical_source,period_values_valid,pass,0,period,Monthly period values are valid and parseable.,
plan_monthly,canonical_source,period_sequence_complete,pass,0,site_id; period,Monthly periods are contiguous within each observed key sequence.,
plan_monthly,canonical_source,month_fields_consistent,not_applicable,0,,"Derived month-field checks require period, month_start_date, calendar_year, and calendar_month.",
plan_monthly,canonical_source,numeric_ranges_valid,pass,0,throughput_tonnes_plan; head_grade_pct_plan; recovery_pct_plan; unit_cost_usd_per_tonne_plan; copper_price_usd_per_lb_plan; tc_rc_usd_per_lb_plan; payable_percent_plan; sustaining_capex_usd_plan; working_capital_change_usd_plan,Numeric values remain inside expected public-safe bounds.,
actual_production_monthly,canonical_source,required_columns_present,pass,0,site_id; period; throughput_tonnes_actual; copper_production_tonnes_actual,All required columns are present.,
actual_production_monthly,canonical_source,required_values_complete,pass,0,site_id; period; throughput_tonnes_actual; copper_production_tonnes_actual,Required columns have no missing values.,
actual_production_monthly,canonical_source,duplicate_keys_absent,pass,0,site_id; period,No duplicate grain rows detected.,
actual_production_monthly,canonical_source,period_values_valid,pass,0,period,Monthly period values are valid and parseable.,
actual_production_monthly,canonical_source,period_sequence_complete,pass,0,site_id; period,Monthly periods are contiguous within each observed key sequence.,
actual_production_monthly,canonical_source,month_fields_consistent,not_applicable,0,,"Derived month-field checks require period, month_start_date, calendar_year, and calendar_month.",
actual_production_monthly,canonical_source,numeric_ranges_valid,pass,0,throughput_tonnes_actual; copper_production_tonnes_actual,Numeric values remain inside expected public-safe bounds.,
plant_performance_monthly,canonical_source,required_columns_present,pass,0,site_id; period; head_grade_pct_actual; recovery_pct_actual,All required columns are present.,
plant_performance_monthly,canonical_source,required_values_complete,pass,0,site_id; period; head_grade_pct_actual; recovery_pct_actual,Required columns have no missing values.,
plant_performance_monthly,canonical_source,duplicate_keys_absent,pass,0,site_id; period,No duplicate grain rows detected.,
plant_performance_monthly,canonical_source,period_values_valid,pass,0,period,Monthly period values are valid and parseable.,
plant_performance_monthly,canonical_source,period_sequence_complete,pass,0,site_id; period,Monthly periods are contiguous within each observed key sequence.,
plant_performance_monthly,canonical_source,month_fields_consistent,not_applicable,0,,"Derived month-field checks require period, month_start_date, calendar_year, and calendar_month.",
plant_performance_monthly,canonical_source,numeric_ranges_valid,pass,0,head_grade_pct_actual; recovery_pct_actual; availability_pct_actual; utilization_pct_actual; downtime_hours_actual,Numeric values remain inside expected public-safe bounds.,
cost_actuals_monthly,canonical_source,required_columns_present,pass,0,site_id; period; mining_cost_usd_actual; processing_cost_usd_actual; ga_cost_usd_actual; sustaining_capex_usd_actual; working_capital_change_usd_actual,All required columns are present.,
cost_actuals_monthly,canonical_source,required_values_complete,pass,0,site_id; period; mining_cost_usd_actual; processing_cost_usd_actual; ga_cost_usd_actual; sustaining_capex_usd_actual; working_capital_change_usd_actual,Required columns have no missing values.,
cost_actuals_monthly,canonical_source,duplicate_keys_absent,pass,0,site_id; period,No duplicate grain rows detected.,
cost_actuals_monthly,canonical_source,period_values_valid,pass,0,period,Monthly period values are valid and parseable.,
cost_actuals_monthly,canonical_source,period_sequence_complete,pass,0,site_id; period,Monthly periods are contiguous within each observed key sequence.,
cost_actuals_monthly,canonical_source,month_fields_consistent,not_applicable,0,,"Derived month-field checks require period, month_start_date, calendar_year, and calendar_month.",
cost_actuals_monthly,canonical_source,numeric_ranges_valid,pass,0,mining_cost_usd_actual; processing_cost_usd_actual; ga_cost_usd_actual; maintenance_cost_usd_actual; logistics_cost_usd_actual; sustaining_capex_usd_actual; working_capital_change_usd_actual,Numeric values remain inside expected public-safe bounds.,
market_prices_monthly,canonical_source,required_columns_present,pass,0,site_id; period; copper_price_usd_per_lb_actual; tc_rc_usd_per_lb_actual; payable_percent_actual,All required columns are present.,
